wam.txt 0 :	0 0 0 
wam.txt 2598 :	0 0 1 
wam.txt 2599 :	0 1 1 
wam.txt 2600 :	0 1 0 
wam.txt 2601 :	0 0 1 
wam.txt 2602 :	0 0 1 
wam.txt 2603 :	0 1 1 
wam.txt 2604 :	0 1 1 
wam.txt 2605 :	0 1 1 
wam.txt 2606 :	0 1 1 
wam.txt 2607 :	0 1 1 
wam.txt 2608 :	0 0 1 
wam.txt 2609 :	0 0 1 
wam.txt 2610 :	0 0 1 
wam.txt 2611 :	0 0 1 
wam.txt 2612 :	0 0 1 
wam.txt 2613 :	0 0 1 
wam.txt 2614 :	0 1 0 
wam.txt 2615 :	0 1 1 
wam.txt 2616 :	0 1 1 
wam.txt 2617 :	0 0 0 
wam.txt 2618 :	0 1 1 
wam.txt 2619 :	0 1 1 
wam.txt 2620 :	0 0 1 
wam.txt 2621 :	0 0 1 
wam.txt 2622 :	0 0 1 
wam.txt 2623 :	0 1 1 
wam.txt 2624 :	0 1 1 
wam.txt 2625 :	0 0 1 
wam.txt 2626 :	0 0 1 
wam.txt 2627 :	0 0 1 
wam.txt 2628 :	0 0 1 
wam.txt 2629 :	1 0 1 
wam.txt 2630 :	1 0 1 
wam.txt 2631 :	0 0 1 
wam.txt 2632 :	0 1 1 
wam.txt 2633 :	0 0 1 
wam.txt 2634 :	0 1 0 
wam.txt 2635 :	0 1 1 
wam.txt 2636 :	0 0 1 
wam.txt 2637 :	0 1 1 
wam.txt 2638 :	0 1 1 
wam.txt 2639 :	0 0 1 
wam.txt 2640 :	0 1 1 
wam.txt 2641 :	0 1 1 
wam.txt 2642 :	0 0 1 
wam.txt 2643 :	0 1 1 
wam.txt 2644 :	0 0 1 
wam.txt 2645 :	0 0 1 
wam.txt 2646 :	1 1 1 
wam.txt 2647 :	0 1 1 
wam.txt 2648 :	0 0 1 
wam.txt 2649 :	0 1 0 
wam.txt 2650 :	0 1 1 
wam.txt 2651 :	0 0 1 
wam.txt 2652 :	0 1 1 
wam.txt 2653 :	0 0 1 
wam.txt 2654 :	0 1 1 
wam.txt 2655 :	0 1 1 
wam.txt 2656 :	0 0 1 
wam.txt 2657 :	0 1 1 
wam.txt 2658 :	0 1 1 
wam.txt 2659 :	0 0 1 
wam.txt 2660 :	0 1 1 
wam.txt 2661 :	0 0 1 
wam.txt 2662 :	0 1 1 
wam.txt 2663 :	0 0 1 
wam.txt 2664 :	0 0 1 
wam.txt 2665 :	0 1 1 
wam.txt 2666 :	0 0 1 
wam.txt 2667 :	0 0 1 
wam.txt 2668 :	0 0 1 
wam.txt 2669 :	0 1 1 
wam.txt 2670 :	0 1 1 
wam.txt 2671 :	0 1 0 
wam.txt 2672 :	0 1 1 
wam.txt 2673 :	0 0 1 
wam.txt 2674 :	1 1 1 
wam.txt 2675 :	0 0 1 
wam.txt 2676 :	0 1 1 
wam.txt 2677 :	0 1 1 
wam.txt 2678 :	0 1 1 
wam.txt 2679 :	0 0 1 
wam.txt 2680 :	0 1 1 
wam.txt 2681 :	0 0 1 
wam.txt 2682 :	0 0 1 
wam.txt 2683 :	1 0 1 
wam.txt 2684 :	0 1 1 
wam.txt 2685 :	0 1 1 
wam.txt 2686 :	0 1 1 
wam.txt 2687 :	0 1 1 
wam.txt 2688 :	0 1 1 
wam.txt 2689 :	0 0 1 
wam.txt 2690 :	0 0 1 
wam.txt 2691 :	0 1 1 
wam.txt 2692 :	0 1 1 
wam.txt 2693 :	0 0 1 
wam.txt 2694 :	0 1 1 
wam.txt 2695 :	0 1 1 
wam.txt 2696 :	0 0 1 
wam.txt 2697 :	0 1 1 
wam.txt 2698 :	0 1 1 
wam.txt 2699 :	1 0 1 
wam.txt 2700 :	0 1 1 
wam.txt 2701 :	0 0 1 
wam.txt 2702 :	0 1 1 
wam.txt 2703 :	0 0 1 
wam.txt 2704 :	0 0 1 
wam.txt 2705 :	0 1 1 
wam.txt 2706 :	0 0 1 
wam.txt 2707 :	0 1 1 
wam.txt 2708 :	0 1 1 
wam.txt 2709 :	0 1 1 
wam.txt 2710 :	0 1 1 
wam.txt 2711 :	0 0 1 
wam.txt 2712 :	0 0 1 
wam.txt 2713 :	0 0 0 
wam.txt 2714 :	0 0 1 
wam.txt 2715 :	1 1 1 
wam.txt 2716 :	0 1 1 
wam.txt 2717 :	0 1 1 
wam.txt 2718 :	1 1 1 
wam.txt 2719 :	0 0 0 
wam.txt 2720 :	0 1 1 
wam.txt 2721 :	0 0 0 
wam.txt 2722 :	0 0 1 
wam.txt 2723 :	0 1 1 
wam.txt 2724 :	0 1 1 
wam.txt 2725 :	0 1 1 
wam.txt 2726 :	0 0 1 
wam.txt 2727 :	0 1 1 
wam.txt 2728 :	1 1 1 
wam.txt 2729 :	0 1 1 
wam.txt 2730 :	0 0 1 
wam.txt 2731 :	0 1 1 
wam.txt 2732 :	0 1 1 
wam.txt 2733 :	0 1 1 
wam.txt 2734 :	0 0 1 
wam.txt 2735 :	0 0 1 
wam.txt 2736 :	0 0 1 
wam.txt 2737 :	0 0 1 
wam.txt 2738 :	0 0 1 
wam.txt 2739 :	1 1 1 
wam.txt 2740 :	1 0 1 
wam.txt 2741 :	0 1 1 
wam.txt 2742 :	0 1 1 
wam.txt 2743 :	0 0 1 
wam.txt 2744 :	0 1 1 
wam.txt 2745 :	0 1 0 
wam.txt 2746 :	0 0 1 
wam.txt 2747 :	0 1 0 
wam.txt 2748 :	0 0 1 
wam.txt 2749 :	0 1 1 
wam.txt 2750 :	0 0 1 
wam.txt 2751 :	0 1 1 
wam.txt 2752 :	0 0 0 
wam.txt 2753 :	0 1 1 
wam.txt 2754 :	1 0 1 
wam.txt 2755 :	1 0 1 
wam.txt 2756 :	0 1 1 
wam.txt 2757 :	0 0 1 
wam.txt 2758 :	1 0 1 
wam.txt 2759 :	0 1 1 
wam.txt 2760 :	0 1 1 
wam.txt 2761 :	0 1 0 
wam.txt 2762 :	0 1 1 
wam.txt 2763 :	0 0 1 
wam.txt 2764 :	0 1 1 
wam.txt 2765 :	0 0 1 
wam.txt 2766 :	0 1 1 
wam.txt 2767 :	0 0 1 
wam.txt 2768 :	0 1 1 
wam.txt 2769 :	0 1 1 
wam.txt 2770 :	1 0 1 
wam.txt 2771 :	0 1 1 
wam.txt 2772 :	0 1 1 
wam.txt 2773 :	0 1 0 
wam.txt 2774 :	0 1 1 
wam.txt 2775 :	1 1 1 
wam.txt 2776 :	0 1 1 
wam.txt 2777 :	0 0 1 
wam.txt 2778 :	0 1 1 
wam.txt 2779 :	0 1 1 
wam.txt 2780 :	0 1 1 
wam.txt 2781 :	0 0 1 
wam.txt 2782 :	1 0 1 
wam.txt 2783 :	0 0 1 
wam.txt 2784 :	0 0 1 
wam.txt 2785 :	0 1 1 
wam.txt 2786 :	0 1 1 
wam.txt 2787 :	0 1 1 
wam.txt 2788 :	0 1 0 
wam.txt 2789 :	0 0 0 
wam.txt 2790 :	0 0 1 
wam.txt 2791 :	0 0 1 
wam.txt 2792 :	0 1 1 
wam.txt 2793 :	1 0 1 
wam.txt 2794 :	0 0 1 
wam.txt 2795 :	0 0 1 
wam.txt 2796 :	0 0 1 
wam.txt 2797 :	0 0 1 
wam.txt 2798 :	0 1 1 
wam.txt 2799 :	0 0 1 
wam.txt 2800 :	1 0 1 
wam.txt 2801 :	0 1 0 
wam.txt 2802 :	0 0 1 
wam.txt 2803 :	0 1 1 
wam.txt 2804 :	0 1 1 
wam.txt 2805 :	0 0 1 
wam.txt 2806 :	0 0 1 
wam.txt 2807 :	0 0 1 
wam.txt 2808 :	0 0 1 
wam.txt 2809 :	0 1 1 
wam.txt 2810 :	0 0 0 
wam.txt 2811 :	0 1 1 
wam.txt 2812 :	0 0 1 
wam.txt 2813 :	0 1 1 
wam.txt 2814 :	0 0 1 
wam.txt 2815 :	0 1 1 
wam.txt 2816 :	1 1 1 
wam.txt 2817 :	1 0 1 
wam.txt 2818 :	0 1 1 
wam.txt 2819 :	0 0 0 
wam.txt 2820 :	0 0 1 
wam.txt 2821 :	0 1 1 
wam.txt 2822 :	0 0 1 
wam.txt 2823 :	0 0 1 
wam.txt 2824 :	0 1 1 
wam.txt 2825 :	0 1 1 
wam.txt 2826 :	0 1 1 
wam.txt 2827 :	0 0 1 
wam.txt 2828 :	0 0 1 
wam.txt 2829 :	0 1 1 
wam.txt 2830 :	0 0 1 
wam.txt 2831 :	0 0 1 
wam.txt 2832 :	0 1 1 
wam.txt 2833 :	0 0 1 
wam.txt 2834 :	1 1 0 
wam.txt 2835 :	0 0 1 
wam.txt 2836 :	0 1 1 
wam.txt 2837 :	0 1 1 
wam.txt 2838 :	0 0 1 
wam.txt 2839 :	0 1 1 
wam.txt 2840 :	0 1 1 
wam.txt 2841 :	0 1 1 
wam.txt 2842 :	0 1 1 
wam.txt 2843 :	0 1 1 
wam.txt 2844 :	0 1 1 
wam.txt 2845 :	0 1 1 
wam.txt 2846 :	0 1 1 
wam.txt 2847 :	0 1 1 
wam.txt 2848 :	0 1 0 
wam.txt 2849 :	0 0 0 
wam.txt 2850 :	1 0 1 
wam.txt 2851 :	0 0 1 
wam.txt 2852 :	1 1 1 
wam.txt 2853 :	0 0 1 
wam.txt 2854 :	0 0 1 
wam.txt 2855 :	0 1 1 
wam.txt 2856 :	0 1 1 
wam.txt 2857 :	0 1 1 
wam.txt 2858 :	1 1 0 
wam.txt 2859 :	0 0 1 
wam.txt 2860 :	0 1 0 
wam.txt 2861 :	0 1 1 
wam.txt 2862 :	0 1 1 
wam.txt 2863 :	0 0 0 
wam.txt 2864 :	1 1 1 
wam.txt 2865 :	0 1 1 
wam.txt 2866 :	0 1 1 
wam.txt 2867 :	0 0 0 
wam.txt 2868 :	0 1 1 
wam.txt 2869 :	0 0 1 
wam.txt 2870 :	0 1 1 
wam.txt 2871 :	0 0 1 
wam.txt 2872 :	0 0 1 
wam.txt 2873 :	0 1 1 
wam.txt 2874 :	0 1 1 
wam.txt 2875 :	0 0 1 
wam.txt 2876 :	0 0 0 
wam.txt 2877 :	0 1 1 
wam.txt 2878 :	0 1 1 
wam.txt 2879 :	0 1 1 
wam.txt 2880 :	0 0 1 
wam.txt 2881 :	0 0 1 
wam.txt 2882 :	0 0 1 
wam.txt 2883 :	0 0 1 
wam.txt 2884 :	0 1 1 
wam.txt 2885 :	0 1 1 
wam.txt 2886 :	0 0 1 
wam.txt 2887 :	0 1 1 
wam.txt 2888 :	0 1 1 
wam.txt 2889 :	0 1 1 
wam.txt 2890 :	0 1 0 
wam.txt 2891 :	0 0 1 
wam.txt 2892 :	0 1 1 
wam.txt 2893 :	0 1 1 
wam.txt 2894 :	0 1 1 
wam.txt 2895 :	0 1 1 
wam.txt 2896 :	0 1 1 
wam.txt 2897 :	0 1 0 
wam.txt 2898 :	0 0 1 
wam.txt 2899 :	0 1 1 
wam.txt 2900 :	0 1 1 
wam.txt 2901 :	0 0 1 
wam.txt 2902 :	0 0 1 
wam.txt 2903 :	0 0 1 
wam.txt 2904 :	1 0 1 
wam.txt 2905 :	0 0 1 
wam.txt 2906 :	0 0 0 
wam.txt 2907 :	1 1 1 
wam.txt 2908 :	0 1 1 
wam.txt 2909 :	0 1 1 
wam.txt 2910 :	0 1 1 
wam.txt 2911 :	0 1 1 
wam.txt 2912 :	0 0 1 
wam.txt 2913 :	1 0 1 
wam.txt 2914 :	0 1 1 
wam.txt 2915 :	0 1 1 
wam.txt 2916 :	0 1 1 
wam.txt 2917 :	0 1 1 
wam.txt 2918 :	0 1 1 
wam.txt 2919 :	0 0 1 
wam.txt 2920 :	0 1 0 
wam.txt 2921 :	0 0 1 
wam.txt 2922 :	0 0 1 
wam.txt 2923 :	0 0 0 
wam.txt 2924 :	0 0 1 
wam.txt 2925 :	0 0 1 
wam.txt 2926 :	1 1 0 
wam.txt 2927 :	0 0 1 
wam.txt 2928 :	0 1 1 
wam.txt 2929 :	0 1 1 
wam.txt 2930 :	0 1 1 
wam.txt 2931 :	0 1 1 
wam.txt 2932 :	0 0 1 
wam.txt 2933 :	0 0 1 
wam.txt 2934 :	0 1 0 
wam.txt 2935 :	0 0 1 
wam.txt 2936 :	0 1 0 
wam.txt 2937 :	0 0 1 
wam.txt 2938 :	0 1 1 
wam.txt 2939 :	0 0 1 
wam.txt 2940 :	1 1 1 
wam.txt 2941 :	0 1 1 
wam.txt 2942 :	0 0 1 
wam.txt 2943 :	0 1 1 
wam.txt 2944 :	0 0 1 
wam.txt 2945 :	0 0 1 
wam.txt 2946 :	0 1 0 
wam.txt 2947 :	0 1 1 
wam.txt 2948 :	0 1 1 
wam.txt 2949 :	0 1 1 
wam.txt 2950 :	0 0 1 
wam.txt 2951 :	0 1 1 
wam.txt 2952 :	0 1 1 
wam.txt 2953 :	0 1 0 
wam.txt 2954 :	1 1 1 
wam.txt 2955 :	0 1 1 
wam.txt 2956 :	0 1 1 
wam.txt 2957 :	0 0 1 
wam.txt 2958 :	1 1 1 
wam.txt 2959 :	0 0 1 
wam.txt 2960 :	1 1 1 
wam.txt 2961 :	0 0 1 
wam.txt 2962 :	0 0 1 
wam.txt 2963 :	0 1 1 
wam.txt 2964 :	0 0 0 
wam.txt 2965 :	0 1 1 
wam.txt 2966 :	0 0 1 
wam.txt 2967 :	0 1 1 
wam.txt 2968 :	0 0 0 
wam.txt 2969 :	0 0 1 
wam.txt 2970 :	0 0 1 
wam.txt 2971 :	0 0 1 
wam.txt 2972 :	0 0 1 
wam.txt 2973 :	0 0 1 
wam.txt 2974 :	0 0 1 
wam.txt 2975 :	0 1 1 
wam.txt 2976 :	0 0 1 
wam.txt 2977 :	0 1 1 
wam.txt 2978 :	0 1 1 
wam.txt 2979 :	0 1 1 
wam.txt 2980 :	0 1 1 
wam.txt 2981 :	0 0 1 
wam.txt 2982 :	0 0 1 
wam.txt 2983 :	0 1 0 
wam.txt 2984 :	0 0 1 
wam.txt 2985 :	0 0 1 
wam.txt 2986 :	0 1 1 
wam.txt 2987 :	1 0 1 
wam.txt 2988 :	0 1 1 
wam.txt 2989 :	0 0 1 
wam.txt 2990 :	0 1 1 
wam.txt 2991 :	1 1 0 
wam.txt 2992 :	0 1 1 
wam.txt 2993 :	0 1 1 
wam.txt 2994 :	0 0 1 
wam.txt 2995 :	0 1 1 
wam.txt 2996 :	1 0 1 
wam.txt 2997 :	0 0 1 
wam.txt 2998 :	0 1 1 
wam.txt 2999 :	0 1 1 
wam.txt 3000 :	1 0 1 
wam.txt 3001 :	0 0 1 
wam.txt 3002 :	0 1 1 
wam.txt 3003 :	0 1 1 
wam.txt 3004 :	0 1 1 
wam.txt 3005 :	0 1 1 
wam.txt 3006 :	0 0 1 
wam.txt 3007 :	0 1 1 
wam.txt 3008 :	0 1 1 
wam.txt 3009 :	0 1 0 
wam.txt 3010 :	0 1 1 
wam.txt 3011 :	0 0 1 
wam.txt 3012 :	1 1 1 
wam.txt 3013 :	1 1 1 
wam.txt 3014 :	1 0 1 
wam.txt 3015 :	0 0 1 
wam.txt 3016 :	0 1 1 
wam.txt 3017 :	0 0 1 
wam.txt 3018 :	0 0 1 
wam.txt 3019 :	0 1 1 
wam.txt 3020 :	0 1 1 
wam.txt 3021 :	0 1 1 
wam.txt 3022 :	0 1 1 
wam.txt 3023 :	0 0 1 
wam.txt 3024 :	0 1 1 
wam.txt 3025 :	0 0 1 
wam.txt 3026 :	0 0 1 
wam.txt 3027 :	0 0 1 
wam.txt 3028 :	0 1 1 
wam.txt 3029 :	0 1 0 
wam.txt 3030 :	0 1 1 
wam.txt 3031 :	0 0 1 
wam.txt 3032 :	0 1 1 
wam.txt 3033 :	0 1 1 
wam.txt 3034 :	0 0 1 
wam.txt 3035 :	1 1 1 
wam.txt 3036 :	0 0 1 
wam.txt 3037 :	0 1 1 
wam.txt 3038 :	0 1 1 
wam.txt 3039 :	0 0 1 
wam.txt 3040 :	0 1 0 
wam.txt 3041 :	0 0 0 
wam.txt 3042 :	0 0 1 
wam.txt 3043 :	0 1 1 
wam.txt 3044 :	0 0 1 
wam.txt 3045 :	0 0 1 
wam.txt 3046 :	0 1 1 
wam.txt 3047 :	0 1 1 
wam.txt 3048 :	1 1 0 
wam.txt 3049 :	0 0 1 
wam.txt 3050 :	0 1 1 
wam.txt 3051 :	0 1 1 
wam.txt 3052 :	1 1 1 
wam.txt 3053 :	0 0 1 
wam.txt 3054 :	0 0 1 
wam.txt 3055 :	0 0 1 
wam.txt 3056 :	0 0 1 
wam.txt 3057 :	0 0 1 
wam.txt 3058 :	0 0 1 
wam.txt 3059 :	0 1 1 
wam.txt 3060 :	0 1 1 
wam.txt 3061 :	0 0 1 
wam.txt 3062 :	0 0 1 
wam.txt 3063 :	0 0 1 
wam.txt 3064 :	0 0 1 
wam.txt 3065 :	0 1 1 
wam.txt 3066 :	0 1 1 
wam.txt 3067 :	0 1 0 
wam.txt 3068 :	0 0 1 
wam.txt 3069 :	0 0 1 
wam.txt 3070 :	0 0 1 
wam.txt 3071 :	0 0 1 
wam.txt 3072 :	0 1 1 
wam.txt 3073 :	0 1 1 
wam.txt 3074 :	0 0 1 
wam.txt 3075 :	0 0 1 
wam.txt 3076 :	0 1 1 
wam.txt 3077 :	0 0 0 
wam.txt 3078 :	0 1 1 
wam.txt 3079 :	0 0 1 
wam.txt 3080 :	0 1 1 
wam.txt 3081 :	0 0 0 
wam.txt 3082 :	0 0 0 
wam.txt 3083 :	0 0 1 
wam.txt 3084 :	0 0 1 
wam.txt 3085 :	0 1 0 
wam.txt 3086 :	1 0 1 
wam.txt 3087 :	1 0 1 
wam.txt 3088 :	0 0 1 
wam.txt 3089 :	0 1 1 
wam.txt 3090 :	0 0 1 
wam.txt 3091 :	0 0 1 
wam.txt 3092 :	0 0 1 
wam.txt 3093 :	0 0 1 
wam.txt 3094 :	0 1 1 
wam.txt 3095 :	0 1 1 
wam.txt 3096 :	0 1 1 
wam.txt 3097 :	0 0 1 
wam.txt 3098 :	0 0 1 
wam.txt 3099 :	0 0 1 
wam.txt 3100 :	0 0 1 
wam.txt 3101 :	0 1 1 
wam.txt 3102 :	0 1 1 
wam.txt 3103 :	0 1 1 
wam.txt 3104 :	0 1 1 
wam.txt 3105 :	0 1 1 
wam.txt 3106 :	0 1 1 
wam.txt 3107 :	0 1 1 
wam.txt 3108 :	1 1 1 
wam.txt 3109 :	0 1 1 
wam.txt 3110 :	0 0 1 
wam.txt 3111 :	0 0 1 
wam.txt 3112 :	0 0 1 
wam.txt 3113 :	0 0 1 
wam.txt 3114 :	0 0 1 
wam.txt 3115 :	0 1 0 
wam.txt 3116 :	0 0 1 
wam.txt 3117 :	0 1 1 
wam.txt 3118 :	0 1 1 
wam.txt 3119 :	0 1 1 
wam.txt 3120 :	0 0 1 
wam.txt 3121 :	0 0 1 
wam.txt 3122 :	0 1 0 
wam.txt 3123 :	0 1 1 
wam.txt 3124 :	0 1 0 
wam.txt 3125 :	0 0 1 
wam.txt 3126 :	0 1 1 
wam.txt 3127 :	0 1 1 
wam.txt 3128 :	0 0 1 
wam.txt 3129 :	0 1 1 
wam.txt 3130 :	0 1 1 
wam.txt 3131 :	0 1 1 
wam.txt 3132 :	1 1 1 
wam.txt 3133 :	0 0 1 
wam.txt 3134 :	0 1 1 
wam.txt 3135 :	0 1 1 
wam.txt 3136 :	0 0 1 
wam.txt 3137 :	0 1 1 
wam.txt 3138 :	0 1 0 
wam.txt 3139 :	0 1 1 
wam.txt 3140 :	0 1 1 
wam.txt 3141 :	0 1 1 
wam.txt 3142 :	0 0 1 
wam.txt 3143 :	0 0 1 
wam.txt 3144 :	0 1 1 
wam.txt 3145 :	0 0 1 
wam.txt 3146 :	0 1 1 
wam.txt 3147 :	0 0 1 
wam.txt 3148 :	0 1 0 
wam.txt 3149 :	0 0 1 
wam.txt 3150 :	0 1 1 
wam.txt 3151 :	1 0 1 
wam.txt 3152 :	0 0 1 
wam.txt 3153 :	0 0 1 
wam.txt 3154 :	0 0 1 
wam.txt 3155 :	0 0 1 
wam.txt 3156 :	0 1 1 
wam.txt 3157 :	0 0 1 
wam.txt 3158 :	0 0 1 
wam.txt 3159 :	0 0 0 
wam.txt 3160 :	0 1 1 
wam.txt 3161 :	0 1 1 
wam.txt 3162 :	0 0 1 
wam.txt 3163 :	0 1 1 
wam.txt 3164 :	0 1 0 
wam.txt 3165 :	0 0 1 
wam.txt 3166 :	0 0 1 
wam.txt 3167 :	0 0 1 
wam.txt 3168 :	0 1 1 
wam.txt 3169 :	0 1 1 
wam.txt 3170 :	0 1 0 
wam.txt 3171 :	0 0 1 
wam.txt 3172 :	0 1 1 
wam.txt 3173 :	0 1 1 
wam.txt 3174 :	0 0 1 
wam.txt 3175 :	1 0 1 
wam.txt 3176 :	1 1 1 
wam.txt 3177 :	0 0 1 
wam.txt 3178 :	0 0 1 
wam.txt 3179 :	0 0 0 
wam.txt 3180 :	0 1 1 
wam.txt 3181 :	0 1 1 
wam.txt 3182 :	0 0 1 
wam.txt 3183 :	0 0 1 
wam.txt 3184 :	0 0 1 
wam.txt 3185 :	0 0 1 
wam.txt 3186 :	0 1 1 
wam.txt 3187 :	0 0 1 
wam.txt 3188 :	0 0 1 
wam.txt 3189 :	0 1 1 
wam.txt 3190 :	0 0 1 
wam.txt 3191 :	0 1 1 
wam.txt 3192 :	0 0 1 
wam.txt 3193 :	0 0 1 
wam.txt 3194 :	1 1 1 
wam.txt 3195 :	0 1 1 
wam.txt 3196 :	0 1 1 
wam.txt 3197 :	0 1 1 
wam.txt 3198 :	1 1 1 
wam.txt 3199 :	0 0 1 
wam.txt 3200 :	0 0 1 
wam.txt 3201 :	0 1 1 
wam.txt 3202 :	1 1 1 
wam.txt 3203 :	0 1 1 
wam.txt 3204 :	0 0 1 
wam.txt 3205 :	0 1 1 
wam.txt 3206 :	0 1 0 
wam.txt 3207 :	1 1 1 
wam.txt 3208 :	0 1 1 
wam.txt 3209 :	0 0 1 
wam.txt 3210 :	0 0 1 
wam.txt 3211 :	0 0 1 
wam.txt 3212 :	0 1 1 
wam.txt 3213 :	0 1 0 
wam.txt 3214 :	0 1 1 
wam.txt 3215 :	0 0 1 
wam.txt 3216 :	0 1 1 
wam.txt 3217 :	0 0 1 
wam.txt 3218 :	0 1 1 
wam.txt 3219 :	0 0 1 
wam.txt 3220 :	0 0 1 
wam.txt 3221 :	0 1 1 
wam.txt 3222 :	1 1 1 
wam.txt 3223 :	0 0 1 
wam.txt 3224 :	0 1 1 
wam.txt 3225 :	0 1 1 
wam.txt 3226 :	0 0 1 
wam.txt 3227 :	0 1 1 
wam.txt 3228 :	0 1 1 
wam.txt 3229 :	0 1 1 
wam.txt 3230 :	0 1 0 
wam.txt 3231 :	0 1 1 
wam.txt 3232 :	0 1 1 
wam.txt 3233 :	0 0 1 
wam.txt 3234 :	1 0 1 
wam.txt 3235 :	0 1 1 
wam.txt 3236 :	0 1 1 
wam.txt 3237 :	0 1 1 
wam.txt 3238 :	1 0 1 
wam.txt 3239 :	0 1 1 
wam.txt 3240 :	0 1 1 
wam.txt 3241 :	0 1 1 
wam.txt 3242 :	0 0 1 
wam.txt 3243 :	1 0 1 
wam.txt 3244 :	1 1 1 
wam.txt 3245 :	0 0 1 
wam.txt 3246 :	0 0 1 
wam.txt 3247 :	0 1 1 
wam.txt 3248 :	0 0 1 
wam.txt 3249 :	0 0 1 
wam.txt 3250 :	0 0 1 
wam.txt 3251 :	0 1 1 
wam.txt 3252 :	1 1 1 
wam.txt 3253 :	0 1 0 
wam.txt 3254 :	0 0 1 
wam.txt 3255 :	0 1 1 
wam.txt 3256 :	0 0 1 
wam.txt 3257 :	1 0 1 
wam.txt 3258 :	0 1 1 
wam.txt 3259 :	0 0 1 
wam.txt 3260 :	0 0 0 
wam.txt 3261 :	0 0 1 
wam.txt 3262 :	1 1 1 
wam.txt 3263 :	1 1 0 
wam.txt 3264 :	0 1 0 
wam.txt 3265 :	0 1 1 
wam.txt 3266 :	0 0 1 
wam.txt 3267 :	0 1 1 
wam.txt 3268 :	0 1 1 
wam.txt 3269 :	0 0 1 
wam.txt 3270 :	0 1 1 
wam.txt 3271 :	0 0 1 
wam.txt 3272 :	0 0 1 
wam.txt 3273 :	0 1 0 
wam.txt 3274 :	0 1 1 
wam.txt 3275 :	0 0 1 
wam.txt 3276 :	0 0 1 
wam.txt 3277 :	0 0 1 
wam.txt 3278 :	0 1 1 
wam.txt 3279 :	0 1 1 
wam.txt 3280 :	0 0 1 
wam.txt 3281 :	0 0 1 
wam.txt 3282 :	1 1 0 
wam.txt 3283 :	0 0 1 
wam.txt 3284 :	0 0 1 
wam.txt 3285 :	0 0 1 
wam.txt 3286 :	0 1 0 
wam.txt 3287 :	0 0 1 
wam.txt 3288 :	0 0 1 
wam.txt 3289 :	0 1 1 
wam.txt 3290 :	0 1 1 
wam.txt 3291 :	0 1 1 
wam.txt 3292 :	0 0 1 
wam.txt 3293 :	0 1 1 
wam.txt 3294 :	0 1 1 
wam.txt 3295 :	0 1 0 
wam.txt 3296 :	0 0 0 
wam.txt 3297 :	1 1 1 
wam.txt 3298 :	0 0 1 
wam.txt 3299 :	0 1 1 
wam.txt 3300 :	0 0 1 
wam.txt 3301 :	0 0 1 
wam.txt 3302 :	0 0 1 
wam.txt 3303 :	0 0 1 
wam.txt 3304 :	0 1 1 
wam.txt 3305 :	0 0 1 
wam.txt 3306 :	0 0 1 
wam.txt 3307 :	0 0 0 
wam.txt 3308 :	0 1 1 
wam.txt 3309 :	0 1 0 
wam.txt 3310 :	0 0 0 
wam.txt 3311 :	1 1 1 
wam.txt 3312 :	0 1 1 
wam.txt 3313 :	0 1 1 
wam.txt 3314 :	0 0 1 
wam.txt 3315 :	1 1 1 
wam.txt 3316 :	0 0 0 
wam.txt 3317 :	0 1 1 
wam.txt 3318 :	0 1 1 
wam.txt 3319 :	0 0 1 
wam.txt 3320 :	0 0 0 
wam.txt 3321 :	0 0 1 
wam.txt 3322 :	0 1 1 
wam.txt 3323 :	1 1 1 
wam.txt 3324 :	0 1 1 
wam.txt 3325 :	0 0 1 
wam.txt 3326 :	0 0 1 
wam.txt 3327 :	0 1 1 
wam.txt 3328 :	0 1 1 
wam.txt 3329 :	0 1 1 
wam.txt 3330 :	0 0 1 
wam.txt 3331 :	0 1 1 
wam.txt 3332 :	0 1 1 
wam.txt 3333 :	1 1 1 
wam.txt 3334 :	0 1 1 
wam.txt 3335 :	0 1 1 
wam.txt 3336 :	0 0 1 
wam.txt 3337 :	0 1 1 
wam.txt 3338 :	0 0 0 
wam.txt 3339 :	1 1 1 
wam.txt 3340 :	0 0 0 
wam.txt 3341 :	0 0 1 
wam.txt 3342 :	0 0 1 
wam.txt 3343 :	0 0 1 
wam.txt 3344 :	0 0 1 
wam.txt 3345 :	0 0 1 
wam.txt 3346 :	0 0 1 
wam.txt 3347 :	0 1 1 
wam.txt 3348 :	0 0 1 
wam.txt 3349 :	0 1 1 
wam.txt 3350 :	0 0 1 
wam.txt 3351 :	0 0 1 
wam.txt 3352 :	0 0 1 
wam.txt 3353 :	1 1 1 
wam.txt 3354 :	0 1 1 
wam.txt 3355 :	0 0 1 
wam.txt 3356 :	0 0 1 
wam.txt 3357 :	0 1 1 
wam.txt 3358 :	0 1 1 
wam.txt 3359 :	0 0 0 
wam.txt 3360 :	0 0 1 
wam.txt 3361 :	0 0 1 
wam.txt 3362 :	0 1 1 
wam.txt 3363 :	0 0 1 
wam.txt 3364 :	1 1 1 
wam.txt 3365 :	0 0 1 
wam.txt 3366 :	0 1 1 
wam.txt 3367 :	0 1 1 
wam.txt 3368 :	0 0 1 
wam.txt 3369 :	0 0 1 
wam.txt 3370 :	0 1 0 
wam.txt 3371 :	0 1 1 
wam.txt 3372 :	0 0 1 
wam.txt 3373 :	0 1 1 
